epoch,train_loss,val_balanced_accuracy,val_roc_auc,threshold,lr
1,0.14545956333196275,0.9887966445844865,0.9994620217980432,0.95,0.0001
2,0.07985161363820842,0.9952665455144285,0.9999062318920039,0.95,0.0001
3,0.06618635680857804,0.9941447272200268,0.9999482760633591,0.95,9.509795896116975e-05
4,0.04930207502724261,0.998232248258738,0.9999916256483534,0.95,8.136274519200731e-05
5,0.03152356228742324,0.9972882617845968,0.9999773399896621,0.85,6.151478623083756e-05
6,0.01780579994531014,0.9978538014556493,0.9999952216934723,0.1,3.9485213769162445e-05
7,0.010312468467406044,0.9991584515508534,0.9999990147821591,0.05,1.9637254807992697e-05
8,0.004916187275667967,0.999519115171916,0.9999996551737558,0.05,5.902041038830258e-06
