protocol,n,real_recall_mean,real_recall_std,fake_recall_mean,fake_recall_std,ece_mean,ece_std,auc_mean,auc_std,balanced_accuracy_mean,balanced_accuracy_std,count_fake_recall_ge_0_95,best_constrained_run_id
random,3,0.8188704001908509,0.057788183116134206,0.9754143026573067,0.002434444022957024,0.15605930495651887,0.027674197770218616,0.9781414385256512,0.006161018142800032,0.8971423514240787,0.02784558677904409,3,20260410_172149_swin_full_swin_gen_v2
source_aware,3,0.5399892646269457,0.2037332404706224,0.9895502772702501,0.00904046731299836,0.25185352218139634,0.08445322162895477,0.9675459455780212,0.011168993336335288,0.764769770948598,0.09903796914030946,3,20260411_003336_swin_full_swin_gen_v2
