epoch,train_loss,val_balanced_accuracy,val_roc_auc,threshold,lr
1,0.1492639181410382,0.976827350982237,0.9995978851746112,0.7999999999999999,0.0001
2,0.07993332033007644,0.9951766176412763,0.9999421045313281,0.95,0.0001
3,0.06530381119080765,0.9911014911014908,0.9999549154435449,0.9,9.509795896116975e-05
4,0.045147845983237705,0.9975459958557682,0.9999830994504217,0.95,8.136274519200731e-05
5,0.03331610251774376,0.998935561013004,0.9999960089081171,0.1,6.151478623083756e-05
