epoch,train_loss,val_balanced_accuracy,val_roc_auc,threshold,lr
1,0.11180517048684076,0.9884735916544953,0.999929113576356,0.95,0.0001
2,0.051474405474119425,0.9949677535737667,0.999726552788292,0.95,0.0001
3,0.03898549960068015,0.9947273111597248,0.9998634980681602,0.1,9.509795896116975e-05
4,0.025277902538237543,0.9953639835588814,0.9999106900027336,0.1,8.136274519200731e-05
5,0.015406746732776892,0.9989535755008636,0.9999960098677448,0.15,6.151478623083756e-05
6,0.007612353390485278,0.9992295842789576,0.999994827606336,0.1,3.9485213769162445e-05
7,0.0024767290495596524,0.9995368983539421,0.9999993103475114,0.49999999999999994,1.9637254807992697e-05
8,0.0011596894830099732,0.9999999999999998,1.0,0.6,5.902041038830258e-06
