threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
0.05,0.5892385410390694,0.6035482684268589,0.5398753894080996,0.9999038369073948,0.7011699652714687,2316,8862,1,10398
0.1,0.6085183297029244,0.622146195911766,0.5518101709310967,0.9996153476295796,0.7110852686659574,2735,8443,4,10395
0.15,0.6164897807850952,0.6298365291087091,0.5569009858551222,0.9995191845369745,0.7152737157205602,2908,8270,5,10394
0.2,0.6229781712008157,0.636095479231757,0.561116510096102,0.9994230214443695,0.7187165035782537,3049,8129,6,10393
0.25,0.6265931315752885,0.6395844754743765,0.5634894816742572,0.9994230214443695,0.7206601255065943,3127,8051,6,10393
0.3,0.6295592529081893,0.6424472416221668,0.5654515778019586,0.9994230214443695,0.7222627610405752,3191,7987,6,10393
0.35,0.6322936460119571,0.645086354164661,0.5672725287920966,0.9994230214443695,0.7237465181053876,3250,7928,6,10393
0.39999999999999997,0.6354451499281643,0.6481246923714449,0.5693934578927182,0.9993268583517644,0.725445026177548,3319,7859,7,10392
0.44999999999999996,0.6374380126987069,0.6500481133769915,0.570738137082601,0.9993268583517644,0.7265354633476687,3362,7816,7,10392
0.49999999999999994,0.6401260601566483,0.6526391443731832,0.5725699801631033,0.9992306952591593,0.7279924335302055,3421,7757,8,10391
0.5499999999999999,0.6425823793854567,0.655009872589322,0.5742470295661785,0.9992306952591593,0.7293465290933806,3474,7704,8,10391
0.6,0.6459192658849701,0.6582271336803428,0.5765495810443372,0.9991345321665543,0.7311752287117104,3547,7631,9,10390
0.65,0.6495342262594429,0.6617127790977189,0.5790647121119225,0.9990383690739493,0.7331686661957244,3626,7552,10,10389
0.7,0.6534736061547017,0.6655148903877529,0.5818212365591398,0.9990383690739493,0.7353742700402355,3711,7467,10,10389
0.75,0.6569958752375215,0.668914425188254,0.5843082114735658,0.9990383690739493,0.737357606727949,3787,7391,10,10389
0.7999999999999999,0.661723131111832,0.6734769587362948,0.5876796017649055,0.9990383690739493,0.7400363286671263,3889,7289,10,10389
0.85,0.6700190017147889,0.6814770561554091,0.5937124892826522,0.9988460428887391,0.7447479744743297,4070,7108,12,10387
0.9,0.6815127218797794,0.6925635733276099,0.6022733863016877,0.998653716703529,0.7513928080452581,4320,6858,14,10385
0.95,0.7044538165639338,0.7146851753004657,0.6201601338432122,0.9980767381478987,0.7649898654869052,4821,6357,20,10379
