threshold,accuracy,balanced_accuracy,confusion_matrix
0.30,0.69108193,0.70429767,"[[4665, 6712], [15, 10384]]"
0.40,0.70729243,0.71979490,"[[5022, 6355], [19, 10380]]"
0.50,0.72184974,0.73369758,"[[5346, 6031], [26, 10373]]"
0.60,0.73773880,0.74888717,"[[5696, 5681], [30, 10369]]"
