threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
0.05,0.5325128581925055,0.5525730693488378,0.9934047815333875,0.10591544343851629,0.19142176330403549,10391,8,10172,1205
0.1,0.5306759735488611,0.5508192699071822,0.9940222032450889,0.10231168146259996,0.1855275741152276,10392,7,10213,1164
0.15,0.5294819985304923,0.549676613670916,0.9938864628820953,0.10002636899006767,0.18176010221992644,10392,7,10239,1138
0.2,0.528517634092579,0.5487536990185472,0.9937722419928817,0.09818053968533004,0.1787057035435528,10392,7,10260,1117
0.25,0.5276451138868479,0.5479186809997373,0.9936651583710399,0.09651050364771027,0.1759333440152207,10392,7,10279,1098
0.3,0.5272777369581191,0.5475670944655016,0.9936189608021869,0.0958073305792388,0.17476350809668098,10392,7,10287,1090
0.35,0.5269103600293902,0.5472155079312658,0.9935720844811745,0.09510415751076733,0.17359217070415625,10392,7,10295,1082
0.39999999999999997,0.5263592946362968,0.5466881281299123,0.9935004642525526,0.0940493979080601,0.17183234302216407,10392,7,10307,1070
0.44999999999999996,0.5259459955914768,0.546292593278897,0.9934456928838943,0.0932583282060297,0.17051024507818777,10392,7,10316,1061
0.49999999999999994,0.5253030859662013,0.5456773168439845,0.9933586337760902,0.09202777533620461,0.16844984313394498,10392,7,10330,1047
0.5499999999999999,0.5248897869213813,0.5452817819929693,0.9933014354066977,0.0912367056341742,0.16712284656239618,10392,7,10339,1038
0.6,0.5244305657604702,0.5448422988251747,0.9932367149758445,0.09035773929858484,0.16564614888801982,10392,7,10349,1028
0.65,0.5239254224834681,0.5443588673406005,0.9931640624999991,0.08939087632943657,0.1640190307231772,10392,7,10360,1017
0.7,0.5237417340191036,0.5441830740734827,0.9931372549019598,0.08903928979520083,0.16342663547617384,10392,7,10364,1013
0.75,0.5232365907421014,0.5436996425889085,0.9930624380574816,0.08807242682605256,0.16179557564977765,10392,7,10375,1002
0.7999999999999999,0.522639603232917,0.5431283144707754,0.9929718875501998,0.0869297705897864,0.1598642204799295,10392,7,10388,989
0.85,0.521813005143277,0.542337244768745,0.9928425357873201,0.08534763118572557,0.15718332658827988,10392,7,10406,971
0.9,0.5207567964731815,0.5413305667123403,0.9937040923399779,0.08323811198031114,0.15360908353594815,10393,6,10430,947
0.95,0.5183688464364438,0.539045254239808,0.9933407325194218,0.07866748703524654,0.14578921648463347,10393,6,10482,895
