epoch,train_loss,val_balanced_accuracy,val_roc_auc,threshold,lr
1,0.11321796718305786,0.9936994087559953,0.9998932023860596,0.95,0.0001
2,0.05323590656236662,0.9966288062228721,0.9999425125389906,0.85,0.0001
3,0.037518886272639856,0.9926665063717237,0.9999639410270276,0.95,9.509795896116975e-05
4,0.02413273221378691,0.9981475934157693,0.9999858128630928,0.95,8.136274519200731e-05
5,0.013284225462582854,0.9981831597798213,0.9999800000778323,0.05,6.151478623083756e-05
6,0.007753698085983072,0.998975619750051,0.9999945813018757,0.1,3.9485213769162445e-05
7,0.0028195082824315687,0.9996926859250151,0.9999996551737558,0.05,1.9637254807992697e-05
8,0.0008631928431870359,0.9996926859250151,0.9999999014782159,0.05,5.902041038830258e-06
