threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp
0.05,0.7422718635584187,0.7511619879080889,0.652080975732428,0.9974035964996633,0.7885953240823957,5644,5534,27,10372
0.1,0.7803216387820364,0.7878557524705216,0.6877945178204021,0.9965381286662177,0.8138694730223708,6474,4704,36,10363
0.15,0.8003893034249432,0.8071906464367322,0.7084302723415902,0.9955764977401671,0.8278095390392134,6917,4261,46,10353
0.2,0.8142466515270891,0.820541676256737,0.7234459128732256,0.9949033560919317,0.8377327935217795,7223,3955,53,10346
0.25,0.8247207674838949,0.8306340650899049,0.7352292925702096,0.9944225406289064,0.8454054937862999,7454,3724,58,10341
0.3,0.8330166380868518,0.8386274608585327,0.7448479608012681,0.9940378882584863,0.8515879227247234,7637,3541,62,10337
0.35,0.8404319414191037,0.8457609204513052,0.7537945125510799,0.9933647466102508,0.857154711031331,7804,3374,69,10330
0.39999999999999997,0.8459934189182926,0.8511018003764658,0.7607606132075471,0.9925954418694104,0.8613510243246224,7932,3246,77,10322
0.44999999999999996,0.8530379570839319,0.8578774142007646,0.7696612445903596,0.9919223002211749,0.8667703037682569,8091,3087,84,10315
0.49999999999999994,0.8577652129582426,0.8624198427973455,0.7758127633955447,0.9913453216655446,0.8704352598466808,8199,2979,90,10309
0.5499999999999999,0.8623997775409,0.8668761607770513,0.7819092426771892,0.9908645062025193,0.8740721889972589,8304,2874,95,10304
0.6,0.8668953051860777,0.871171479991633,0.7882803523554193,0.9896143859986536,0.8775475398647744,8414,2764,108,10291
0.65,0.8727812022060527,0.8768422290904245,0.7961615848939791,0.9893258967208384,0.8822949273182313,8544,2634,111,10288
0.7,0.8778328776011494,0.8816709661324735,0.803597966366836,0.9879796134243676,0.8863008971699675,8667,2511,125,10274
0.75,0.8841358854335635,0.8877074326431217,0.8129308295697646,0.9866333301278968,0.8913987836658815,8817,2361,139,10260
0.7999999999999999,0.8905315845576308,0.8938166064696718,0.8229007633587785,0.9848062313684006,0.8966030467513862,8974,2204,158,10241
0.85,0.8970199749733513,0.8999917859616371,0.8336733861095241,0.9823059909606692,0.9019071163689187,9140,2038,184,10215
0.9,0.9054548825137878,0.9079652359322504,0.8491354105755574,0.9774978363304162,0.908806437192171,9372,1806,234,10165
0.95,0.9198683783658526,0.9215514601330683,0.878074306645735,0.9681700163477256,0.9209238509027711,9780,1398,331,10068
