epoch,train_loss,val_balanced_accuracy,val_roc_auc,threshold,lr
1,0.15157209662847987,0.9890616736037754,0.9997344692079377,0.95,0.0001
2,0.07988590329435682,0.996708679560554,0.9999362164389822,0.95,0.0001
3,0.06639302677726004,0.9862068603617464,0.999905051431378,0.95,9.509795896116975e-05
4,0.048653106906526154,0.9971139971139968,0.9999792561767566,0.15,8.136274519200731e-05
5,0.030226228247872206,0.9950697450697448,0.9999885194517442,0.95,6.151478623083756e-05
6,0.019135009597483148,0.9986772486772484,0.9999966001809887,0.39999999999999997,3.9485213769162445e-05
7,0.010895580625809496,0.9992784992784991,0.9999932989074558,0.05,1.9637254807992697e-05
8,0.005307529040976196,0.9996392496392494,0.9999999014545214,0.05,5.902041038830258e-06
