metric,value
accuracy,0.9147703573249293
balanced_accuracy,0.9168857435350449
precision,0.8649386084583902
recall,0.9754784113857101
f1,0.9168888688028201
threshold,0.95
roc_auc,0.986848780878586
temperature,1.1999218463897705
val_selected_threshold,0.95
val_constraint_fake_recall,0.9747535465256069
val_constraint_real_recall,0.9999999999999998
val_constraint_balanced_accuracy,0.9873767732628034
val_constraint_feasible,True
pr_auc_fake,0.9869736365377573
pr_auc_real,0.9862261305912317
