epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.41872536,0.80803849,0.28743379,0.87954872
2,0.27398963,0.88462123,0.21332871,0.91295211
3,0.23535685,0.90177493,0.17088170,0.93164473
4,0.19897795,0.91951093,0.14790919,0.94193120
5,0.17260548,0.93086144,0.12976854,0.95055857
6,0.15321803,0.93845500,0.12438790,0.95133282
7,0.13960220,0.94494670,0.11347741,0.95476164
8,0.12474813,0.95052239,0.10413689,0.95951775
